"Reindex","Reindex"
"Reindex All","Reindex All"
"Run Indexer Reindex from Admin","Run Indexer Reindex from Admin"
"ETechFlow Admin Reindex Configuration","ETechFlow Admin Reindex Configuration"
"Are you sure you want to reindex the selected items? This can take a few minutes on large catalogs.","Are you sure you want to reindex the selected items? This can take a few minutes on large catalogs."
"Reindex ALL indexers? This can take several minutes on large catalogs.","Reindex ALL indexers? This can take several minutes on large catalogs."
"Please select at least one indexer to reindex.","Please select at least one indexer to reindex."
"%1 indexer(s) rebuilt successfully: %2","%1 indexer(s) rebuilt successfully: %2"
"Failed to reindex %1: %2","Failed to reindex %1: %2"
"Invalid security token. Please reload the page and try again.","Invalid security token. Please reload the page and try again."
"ETechFlow Admin Reindex is disabled or unlicensed on this domain.","ETechFlow Admin Reindex is disabled or unlicensed on this domain."
"Admin Reindex","Admin Reindex"
"License","License"
"Production Environment","Production Environment"
"License Key","License Key"
"General Settings","General Settings"
"Enable Module","Enable Module"
